likes_per_minute,video_id,video_title,upload_date,upload_time,view_count,like_count,comment_count,video_duration,tags,day,duration,minutes,interaction_score,Sort_order
416,wHyBGO5zunw,Dylan Groenewegen's NEW Bianchi Oltre XR4 | Tour De France 2016,23/07/2016,00:03.0,222173,1666,151,04:14:00,"['GCN', 'Global Cycling Network', 'Sports', 'Cycling', 'Bike', 'Road Bike', 'Cyclist', 'GCN Cycling', 'Cycling Tips', 'Bikes', 'Bicycle (Product Category)', 'cycling workout', 'cycling training', 'velo', 'bicicletas', 'bici ciclismo', 'velo route', 'fahrrad', 'fiets', 'tour de france', 'le tour de france', 'tdf2016', 'bianchi', 'bianchi aero bike', 'new bianchi bike', 'bianchi oltre xr4', 'dylan groenewegen', 'aero road bike', 'aerodynamic', 'shimano', 'shimano dura aca', 'dura ace di2', 'jul16', 'sec-feature', 'pltdf16']",Saturday,4-6,4,1.4,5
414,#NAME?,Mark Cavendish's Custom Painted Cerv?lo S5 | Tour de France 2017,05/08/2017,00:00.0,115745,1659,163,04:58:00,"['cervelo', 'cervelo s5', 'mark cavendish', 'cavendish', 'cav', 'tour de france', 'dimension data', 'pro bike', 'enve', 'enve wheels', 'tour bike', 'GCN', 'Global Cycling Network', 'Sports', 'Cycling', 'Bike', 'Road Bike', 'Cyclist', 'GCN Cycling', 'Cycling Tips', 'Bikes', 'Bicycle (Product Category)', 'cycling workout', 'cycling training', 'velo', 'custom painted', 'fizik', 'cvnds', 'uci', 'Di2', 'jul17', 'sec-feature', 'plpb16', 'pltdf17', 'h3', 'gc11sas', '?', '?', '?', '?']",Saturday,4-6,4,2.76,5
414,#NAME?,Mark Cavendish's Custom Painted Cerv?lo S5 | Tour de France 2017,05/08/2017,00:00.0,115745,1659,163,04:58:00,"['cervelo', 'cervelo s5', 'mark cavendish', 'cavendish', 'cav', 'tour de france', 'dimension data', 'pro bike', 'enve', 'enve wheels', 'tour bike', 'GCN', 'Global Cycling Network', 'Sports', 'Cycling', 'Bike', 'Road Bike', 'Cyclist', 'GCN Cycling', 'Cycling Tips', 'Bikes', 'Bicycle (Product Category)', 'cycling workout', 'cycling training', 'velo', 'custom painted', 'fizik', 'cvnds', 'uci', 'Di2', 'jul17', 'sec-feature', 'plpb16', 'pltdf17', 'h3', 'gc11sas', '?', '?', '?', '?']",Saturday,4-6,4,2.76,5
412,HTHMRsvjATY,NEW Prototype Bikes & NEW Shimano Groupset - Tech Special | The GCN Show Ep. 231,13/06/2017,22:51.0,143642,1651,421,04:31:00,"['ultegra r8000', 'guiness world record', ""rubik's cube"", ""OVO Women's Tour"", 'Crit?rium du Dauphin?', 'GCN', 'Global Cycling Network', 'Sports', 'Cycling', 'Bike', 'Road Bike', 'Cyclist', 'GCN Cycling', 'Cycling Tips', 'Bikes', 'Bicycle (Product Category)', 'cycling workout', 'cycling training', 'velo', 'zipp', 'trek', 'merida', 'prototype bike', 'prototype bicycle', 'canyon', 'sram', 'zwift', 'gcn show', 'cyclingnews', 'cycling news', 'jun17', 'sec-show', 'b1', 'h3', 'gc11sas', 'q1', 'e3', 'g2', '?', '?', '?', '?', '?']",Tuesday,4-6,4,4.04,5
412,JG4vVVLCF-Q,Recovering From A Road Bike Crash | How To Regain Confidence After An Accident,29/01/2021,46:09.0,59945,2064,333,05:22:00,"['crash', 'crashing', 'bike crash', 'confidence', 'build confidence', 'accident', 'injury', 'descending', 'downhill', 'corner', 'cornering', 'back on the bike', 'falling off', 'fall off', 'injured', 'traffic', 'bicycle crash', 'return', 'rebuild', 'recover', 'get better', 'after', 'train', 'training', 'GCN', 'Global Cycling Network', 'Sports', 'Cycling', 'Bike', 'Bikes', 'Bicycle (Product Category)', 'Road Bike', 'Cyclist', 'Road Bicycle', 'GCN Cycling', 'velo', 'sec-feature', 'sca15', 'gc21s', '?', 'gc11shs', 'r1', 'c1', '?', 'n1', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?17', '?', '?', '4225']",Friday,4-6,5,8.84,5
412,1UFQOJyKb_w,Vincenzo Nibali's Custom Gold quot;Centenarioquot; Merida Scultura,04/05/2017,59:27.0,107953,1651,266,04:21:00,"['vincenzo nibali', 'shimano 9100', 'shimano 9150', 'shimano dura-ace', 'srm', 'thm clavicula', 'merida scultura', ""giro d'italia"", 'fsa', 'prologo', 'GCN', 'Global Cycling Network', 'Sports', 'Cycling', 'Bike', 'Road Bike', 'Cyclist', 'GCN Cycling', 'Cycling Tips', 'Bikes', 'Bicycle (Product Category)', 'cycling workout', 'cycling training', 'velo', 'may17', 'sec-feature', 'plpb16', 'h3', '?', '?']",Thursday,4-6,4,3.89,5
411,djMba9_bAVE,New Cycling Channel: GCN Italia! Subscribe Now,21/12/2018,00:02.0,92532,1644,218,04:17:00,"['ciclismo', 'ciclo', 'bicicletta', 'Biciclette', 'bici da corsa', 'bici italia', 'ciclismo sport', 'GCN', 'Global Cycling Network', 'GCN Italia', 'GCN in italiano', 'Bici (categoria prodotto)', 'Bici da strada', 'Ciclista', 'Ciclisti', 'Cycling', 'Cyclist', 'Bicycle (Product Category)', 'new gcn channel', 'gcn italy', 'gcn italian', '?', 'sca15', 'gc11shs', 'c1', 'h3', 'gc11sas', 'c3', 'gc04s1', 'p1', '?', 'gcn new channel', 'alan marangoni']",Friday,4-6,4,4,5
410,IF-8VxWI540,The Weirdest Thing That You've Seen On A Bike Ride? | GCN Show Ep. 337,25/06/2019,40:38.0,103772,1643,451,04:44:00,"['tour divide', 'tour', 'le tour', 'divide', 'le tour de france', 'france', 'outerbike', 'bike tech', 'weird', 'sight', 'event', 'bikepacking', 'touring', 'epic ride', 'epic', 'trans america', 'race across', 'america', 'usa', 'gravel', 'groad', 'gravel riding', 'gravel bike', 'GBDuro', 'lachlan', 'morton', 'track', 'world', 'cup', 'GCN', 'Global Cycling Network', 'Sports', 'Cycling', 'Bike', 'Bikes', 'Bicycle (Product Category)', 'Road Bike', 'Cyclist', 'gcn show', 'the gcn show', 'GCN Cycling', 'velo', 'dan', 'lloyd', 'chris', 'opie', '?', 'gc11shs', 'r1', 'c1', 'gc11sas', 'q1', 'e3', '?', '?', '?', '?', '?', '?', '?', '3642', '?']",Tuesday,4-6,4,5.88,5
410,_FwIQ2Ja6XY,7 Road Cycling Rules Worth Breaking,26/12/2019,00:05.0,74058,2051,223,05:57:00,"['Rules', 'the rules', 'break', 'breaking', 'breaking the rules', 'leg shave', 'shaved legs', 'shaving legs', 'sleeve', 'sleeves', 'sleeveless jersey', 'sock', 'sock height', 'socks', 'glasses', 'helmet', 'straps', 'gps', 'route', 'data', 'head unit', 'rims', 'carbon', 'carbon wheels', 'aero', 'lightweight', 'stem', 'slam', 'slammed', 'GCN', 'Global Cycling Network', 'Sports', 'Cycling', 'Bike', 'Bikes', 'Bicycle (Product Category)', 'Road Bike', 'Cyclist', 'GCN Cycling', 'velo', 'James', 'Chris', 'sec-top-10', '?', 'gc11shs', '?', 'c3', 'r1', 'h3', 'gc11sas', 'n1', '?', '?', '?', '?', '?', '?', '?', '?19', '3825']",Thursday,4-6,5,5.67,5
409,chUw1ks3Cz8,5 Killer Cycling Workouts For 2018,01/01/2018,00:03.0,103713,2047,117,05:51:00,"['GCN', 'Global Cycling Network', 'Sports', 'Cycling', 'Bike', 'Bikes', 'Bicycle (Product Category)', 'Road Bike', 'Cyclist', 'workout', 'fitness', 'training session', 'session', 'effort', 'aerobic', 'power', 'ftp', 'cycling fitness', 'strength', 'torque', 'hour of power', 'sprint', 'interval', 'sweetspot', 'long rides', 'rides', 'alta badia', 'pro', 'trek', 'climbing', 'powermeter', 'GCN Cycling', 'Cycling Tips', 'cycling workout', 'cycling training', 'velo', 'dan lloyd', 'sec-top-10', 'pltr', 'plts', 'sca15', 'gc21s', 'b1', 'gc11shs', 'gc04s1', 'c3', '?', 'c1', 'h3', 'gc11sas', 'p1', 'd2', '?', '?', '?', '?', '?']",Monday,4-6,5,2.99,5
408,4Ht-i3IDUOU,How To Carry Your Calories: Stay Fuelled Whilst Cycling,31/07/2019,53:42.0,58186,2041,193,05:43:00,"['bidon', 'nutrition', 'eat', 'food', 'fuel', 'sports', 'energy', 'bar', 'gel', 'energy bar', 'energy gel', 'rice', 'cake', 'rice cake', 'musette', 'feed', 'zone', 'carbohydrate', 'protein', 'isotonic', 'drink', 'water', 'water bottle', 'recipe', 'how to make', 'sugar', 'fat', 'cook', 'cooking', 'cycling nutrition', 'race', 'racing', 'le tour', 'tour de france', 'france', 'tour', 'GCN', 'Global Cycling Network', 'Sports', 'Cycling', 'Bike', 'Bikes', 'Bicycle (Product Category)', 'Road Bike', 'Cyclist', 'GCN Cycling', 'velo', 'chris', 'opie', 'james', 'sec-how-to', 'gc21s', '?', 'gc11shs', '?', 'c3', 'r1', 'c1', 'h3', 'gc11sas', 'p1', '?', '?', '?', '?', '?', '?', '3677']",Wednesday,4-6,5,6.7,5
404,XskX3pxem54,How To Plan The Ultimate Cycling Training Loop,21/10/2020,04:13.0,74212,2020,216,05:36:00,"['training', 'route', 'loop', 'komoot', 'route planning', 'training loop', 'gravel', 'road', 'off road', 'climb', 'descend', 'motivation', 'exciting', 'discover', 'new', 'roads', 'fun', 'mix', 'enjoy', 'competition', 'fitness', 'fit', 'fitter', 'event', 'GCN', 'Global Cycling Network', 'Sports', 'Cycling', 'Bike', 'Bikes', 'Bicycle (Product Category)', 'Road Bike', 'Cyclist', 'Road Bicycle', 'How To', 'bike skills', 'cycling skills', 'GCN Cycling', 'velo', 'james', 'lowsley', 'williams', 'hank', 'manon', 'lloyd', 'sec-how-to', 'sca15', 'gc21s', '?', 'gc11shs', '?', 'gc11sas', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?17', '?', '?', '?', '3972']",Wednesday,4-6,5,5.52,5
404,sxyyA4QHB4w,Mountain Bike Vs Road: Who Is The Fittest? | GCN Show Ep. 333,28/05/2019,15:53.0,110287,2021,455,05:56:00,"['mathieu va der poel', 'van der poel', 'mtb', 'mountain bike', 'world cup', 'racing', 'race', 'xc', 'cross country', 'nino', 'schurter', 'fit', 'fitter', 'tough', 'mountain biker', 'uci', 'results', 'giro', ""giro d'italia"", 'road cyclist', 'amstel', 'gold', 'cyclocross', 'cx', 'GCN', 'Global Cycling Network', 'Sports', 'Cycling', 'Bike', 'Bikes', 'Bicycle (Product Category)', 'Road Bike', 'Cyclist', 'gcn show', 'the gcn show', 'GCN Cycling', 'velo', 'si richardson', 'dan', 'lloyd', '?', 'sca15', 'gc11shs', 'r1', 'c1', 'gc11sas', 'q1', '?', '?', '?', '?', '3613']",Tuesday,4-6,5,5.89,5
